t=,38268, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.007, ca=,0.0201, cr=,0.0155,  0.324540, 
t=,76536, actvstrat=,mBuy=,-0.076, mSel=,+0.052, b=,0.021, m=,0.029, ca=,0.0251, cr=,0.0136,  0.330116, 
t=,114805, actvstrat=,mBuy=,-0.131, mSel=,+0.090, b=,0.033, m=,0.031, ca=,0.0285, cr=,0.0178,  0.387305, 
t=,153073, actvstrat=,mBuy=,-0.102, mSel=,+0.135, b=,0.000, m=,0.023, ca=,0.0248, cr=,0.0170,  0.643496, 
t=,191342, actvstrat=,mBuy=,-0.067, mSel=,+0.171, b=,0.040, m=,0.010, ca=,0.0287, cr=,0.0145,  0.420961, 
t=,229611, actvstrat=,mBuy=,-0.051, mSel=,+0.128, b=,0.000, m=,0.000, ca=,0.0319, cr=,0.0206,  0.718847, 
t=,267880, actvstrat=,mBuy=,-0.083, mSel=,+0.132, b=,0.051, m=,0.051, ca=,0.0328, cr=,0.0209,  0.405189, 
t=,306148, actvstrat=,mBuy=,-0.049, mSel=,+0.169, b=,0.092, m=,0.033, ca=,0.0314, cr=,0.0230,  0.518874, 
t=,344417, actvstrat=,mBuy=,-0.109, mSel=,+0.179, b=,0.101, m=,0.073, ca=,0.0320, cr=,0.0199,  0.554780, 
t=,382686, actvstrat=,mBuy=,-0.156, mSel=,+0.150, b=,0.113, m=,0.059, ca=,0.0343, cr=,0.0220,  0.588054, 
t=,420955, actvstrat=,mBuy=,-0.148, mSel=,+0.155, b=,0.167, m=,0.052, ca=,0.0315, cr=,0.0197,  0.576563, 
t=,459224, actvstrat=,mBuy=,-0.135, mSel=,+0.165, b=,0.241, m=,0.067, ca=,0.0283, cr=,0.0256,  0.668200, 
t=,497492, actvstrat=,mBuy=,-0.117, mSel=,+0.189, b=,0.277, m=,0.052, ca=,0.0279, cr=,0.0241,  0.689799, 
t=,535761, actvstrat=,mBuy=,-0.108, mSel=,+0.147, b=,0.268, m=,0.042, ca=,0.0291, cr=,0.0247,  0.715052, 
t=,574029, actvstrat=,mBuy=,-0.125, mSel=,+0.168, b=,0.275, m=,0.043, ca=,0.0345, cr=,0.0327,  0.750182, 
t=,612298, actvstrat=,mBuy=,-0.137, mSel=,+0.189, b=,0.282, m=,0.002, ca=,0.0370, cr=,0.0324,  0.740857, 
t=,650566, actvstrat=,mBuy=,-0.108, mSel=,+0.222, b=,0.275, m=,0.000, ca=,0.0388, cr=,0.0284,  0.792516, 
t=,688834, actvstrat=,mBuy=,-0.099, mSel=,+0.285, b=,0.298, m=,0.012, ca=,0.0398, cr=,0.0301,  0.774152, 
t=,727103, actvstrat=,mBuy=,-0.132, mSel=,+0.317, b=,0.285, m=,0.000, ca=,0.0415, cr=,0.0281,  0.770252, 
t=,765372, actvstrat=,mBuy=,-0.141, mSel=,+0.349, b=,0.279, m=,0.012, ca=,0.0392, cr=,0.0277,  0.756780, 
t=,803640, actvstrat=,mBuy=,-0.168, mSel=,+0.368, b=,0.263, m=,0.047, ca=,0.0399, cr=,0.0287,  0.720511, 
t=,841909, actvstrat=,mBuy=,-0.204, mSel=,+0.373, b=,0.288, m=,0.034, ca=,0.0380, cr=,0.0314,  0.736694, 
t=,880178, actvstrat=,mBuy=,-0.168, mSel=,+0.405, b=,0.276, m=,0.000, ca=,0.0375, cr=,0.0348,  0.764241, 
t=,918446, actvstrat=,mBuy=,-0.195, mSel=,+0.408, b=,0.308, m=,0.004, ca=,0.0326, cr=,0.0326,  0.803957, 
t=,956714, actvstrat=,mBuy=,-0.184, mSel=,+0.386, b=,0.346, m=,0.000, ca=,0.0343, cr=,0.0324,  0.813227, 
t=,994983, actvstrat=,mBuy=,-0.202, mSel=,+0.389, b=,0.398, m=,0.043, ca=,0.0291, cr=,0.0299,  0.810220, 
t=,1033251, actvstrat=,mBuy=,-0.252, mSel=,+0.371, b=,0.440, m=,0.047, ca=,0.0259, cr=,0.0309,  0.823512, 
t=,1071520, actvstrat=,mBuy=,-0.251, mSel=,+0.327, b=,0.427, m=,0.000, ca=,0.0264, cr=,0.0312,  0.861896, 
t=,1109788, actvstrat=,mBuy=,-0.251, mSel=,+0.289, b=,0.452, m=,0.026, ca=,0.0303, cr=,0.0286,  0.797024, 
t=,1148057, actvstrat=,mBuy=,-0.259, mSel=,+0.323, b=,0.479, m=,0.002, ca=,0.0339, cr=,0.0324,  0.889193, 
t=,1186325, actvstrat=,mBuy=,-0.300, mSel=,+0.304, b=,0.528, m=,0.010, ca=,0.0327, cr=,0.0332,  0.876152, 
t=,1224593, actvstrat=,mBuy=,-0.301, mSel=,+0.332, b=,0.537, m=,0.000, ca=,0.0328, cr=,0.0354,  0.870530, 
t=,1262861, actvstrat=,mBuy=,-0.312, mSel=,+0.386, b=,0.555, m=,0.034, ca=,0.0335, cr=,0.0331,  0.906456, 
t=,1301130, actvstrat=,mBuy=,-0.323, mSel=,+0.317, b=,0.532, m=,0.058, ca=,0.0336, cr=,0.0307,  0.891096, 
t=,1339399, actvstrat=,mBuy=,-0.392, mSel=,+0.327, b=,0.557, m=,0.082, ca=,0.0333, cr=,0.0283,  0.871219, 
t=,1377667, actvstrat=,mBuy=,-0.341, mSel=,+0.361, b=,0.563, m=,0.115, ca=,0.0334, cr=,0.0255,  0.920793, 
t=,1415935, actvstrat=,mBuy=,-0.391, mSel=,+0.320, b=,0.591, m=,0.139, ca=,0.0356, cr=,0.0237,  0.836689, 
t=,1454204, actvstrat=,mBuy=,-0.371, mSel=,+0.284, b=,0.599, m=,0.114, ca=,0.0348, cr=,0.0264,  0.861161, 
t=,1492473, actvstrat=,mBuy=,-0.372, mSel=,+0.279, b=,0.640, m=,0.115, ca=,0.0287, cr=,0.0262,  0.898272, 
t=,1530741, actvstrat=,mBuy=,-0.354, mSel=,+0.240, b=,0.658, m=,0.107, ca=,0.0288, cr=,0.0300,  0.859651, 
t=,1569009, actvstrat=,mBuy=,-0.380, mSel=,+0.221, b=,0.651, m=,0.106, ca=,0.0295, cr=,0.0326,  0.857845, 
t=,1607278, actvstrat=,mBuy=,-0.390, mSel=,+0.219, b=,0.712, m=,0.061, ca=,0.0296, cr=,0.0365,  0.910517, 
t=,1645546, actvstrat=,mBuy=,-0.359, mSel=,+0.193, b=,0.682, m=,0.052, ca=,0.0308, cr=,0.0346,  0.992642, 
t=,1683814, actvstrat=,mBuy=,-0.390, mSel=,+0.185, b=,0.669, m=,0.037, ca=,0.0319, cr=,0.0355,  0.994540, 
t=,1722083, actvstrat=,mBuy=,-0.410, mSel=,+0.197, b=,0.636, m=,0.025, ca=,0.0330, cr=,0.0387,  0.924057, 
t=,1760353, actvstrat=,mBuy=,-0.405, mSel=,+0.212, b=,0.684, m=,0.022, ca=,0.0326, cr=,0.0398,  0.957622, 
t=,1798622, actvstrat=,mBuy=,-0.398, mSel=,+0.236, b=,0.658, m=,0.029, ca=,0.0308, cr=,0.0420,  0.920647, 
t=,1836890, actvstrat=,mBuy=,-0.421, mSel=,+0.244, b=,0.691, m=,0.011, ca=,0.0299, cr=,0.0413,  0.895711, 
t=,1875158, actvstrat=,mBuy=,-0.405, mSel=,+0.256, b=,0.703, m=,0.000, ca=,0.0298, cr=,0.0448,  0.930206, 
t=,1913427, actvstrat=,mBuy=,-0.428, mSel=,+0.241, b=,0.736, m=,0.022, ca=,0.0322, cr=,0.0472,  0.933654, 
t=,1951695, actvstrat=,mBuy=,-0.418, mSel=,+0.197, b=,0.741, m=,0.010, ca=,0.0290, cr=,0.0512,  0.926584, 
t=,1989964, actvstrat=,mBuy=,-0.478, mSel=,+0.201, b=,0.733, m=,0.043, ca=,0.0294, cr=,0.0495,  0.955368, 
t=,2028232, actvstrat=,mBuy=,-0.524, mSel=,+0.209, b=,0.739, m=,0.005, ca=,0.0292, cr=,0.0476,  0.989179, 
t=,2066501, actvstrat=,mBuy=,-0.522, mSel=,+0.177, b=,0.745, m=,0.009, ca=,0.0292, cr=,0.0458,  0.988892, 
t=,2104769, actvstrat=,mBuy=,-0.560, mSel=,+0.191, b=,0.791, m=,0.059, ca=,0.0283, cr=,0.0468,  0.949184, 
t=,2143038, actvstrat=,mBuy=,-0.549, mSel=,+0.238, b=,0.794, m=,0.104, ca=,0.0332, cr=,0.0429,  0.969423, 
t=,2181307, actvstrat=,mBuy=,-0.574, mSel=,+0.217, b=,0.823, m=,0.094, ca=,0.0345, cr=,0.0436,  0.966505, 
t=,2219576, actvstrat=,mBuy=,-0.560, mSel=,+0.233, b=,0.838, m=,0.115, ca=,0.0310, cr=,0.0426,  1.040577, 
