t=,31325, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.058, ca=,0.0457, cr=,0.0220,  1.219656, 
t=,62649, actvstrat=,mBuy=,-0.065, mSel=,+0.051, b=,0.000, m=,0.049, ca=,0.0433, cr=,0.0215,  1.386763, 
t=,93974, actvstrat=,mBuy=,-0.101, mSel=,+0.084, b=,0.001, m=,0.025, ca=,0.0423, cr=,0.0219,  1.589480, 
t=,125299, actvstrat=,mBuy=,-0.101, mSel=,+0.084, b=,0.001, m=,0.025, ca=,0.0423, cr=,0.0219,  1.749777, 
t=,156623, actvstrat=,mBuy=,-0.128, mSel=,+0.092, b=,0.017, m=,0.004, ca=,0.0441, cr=,0.0206,  1.253760, 
t=,187948, actvstrat=,mBuy=,-0.106, mSel=,+0.058, b=,0.036, m=,0.044, ca=,0.0474, cr=,0.0230,  1.248553, 
t=,219273, actvstrat=,mBuy=,-0.117, mSel=,+0.047, b=,0.004, m=,0.044, ca=,0.0458, cr=,0.0194,  1.518757, 
t=,250597, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.078108, 
t=,281923, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.150433, 
t=,313248, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.066128, 
t=,344573, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.031201, 
t=,375898, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.015433, 
t=,407222, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.064951, 
t=,438547, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.101384, 
t=,469872, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.076908, 
t=,501197, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.085448, 
t=,532521, actvstrat=,mBuy=,-0.108, mSel=,+0.026, b=,0.003, m=,0.035, ca=,0.0466, cr=,0.0161,  2.058414, 
t=,563846, actvstrat=,mBuy=,-0.139, mSel=,+0.056, b=,0.000, m=,0.037, ca=,0.0421, cr=,0.0178,  2.068930, 
t=,595171, actvstrat=,mBuy=,-0.139, mSel=,+0.056, b=,0.000, m=,0.037, ca=,0.0421, cr=,0.0178,  1.496009, 
t=,626496, actvstrat=,mBuy=,-0.139, mSel=,+0.056, b=,0.000, m=,0.037, ca=,0.0421, cr=,0.0178,  1.313155, 
t=,657820, actvstrat=,mBuy=,-0.141, mSel=,+0.043, b=,0.010, m=,0.062, ca=,0.0398, cr=,0.0237,  1.231277, 
t=,689145, actvstrat=,mBuy=,-0.122, mSel=,+0.022, b=,0.035, m=,0.060, ca=,0.0384, cr=,0.0262,  1.255949, 
t=,720470, actvstrat=,mBuy=,-0.122, mSel=,+0.022, b=,0.035, m=,0.060, ca=,0.0384, cr=,0.0262,  1.216071, 
t=,751794, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.231630, 
t=,783119, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.338114, 
t=,814443, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.473580, 
t=,845768, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.390679, 
t=,877094, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.311104, 
t=,908418, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.341322, 
t=,939742, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.241815, 
t=,971069, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.383198, 
t=,1002394, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.315208, 
t=,1033718, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.274774, 
t=,1065043, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.367125, 
t=,1096368, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.385960, 
t=,1127692, actvstrat=,mBuy=,-0.131, mSel=,+0.057, b=,0.002, m=,0.016, ca=,0.0362, cr=,0.0237,  2.302671, 
t=,1159017, actvstrat=,mBuy=,-0.163, mSel=,+0.083, b=,0.000, m=,0.000, ca=,0.0357, cr=,0.0263,  2.450338, 
