t=,33776, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.071, ca=,0.0173, cr=,0.0140,  0.350139, 
t=,67554, actvstrat=,mBuy=,-0.076, mSel=,+0.042, b=,0.051, m=,0.100, ca=,0.0218, cr=,0.0154,  0.449749, 
t=,101330, actvstrat=,mBuy=,-0.036, mSel=,+0.069, b=,0.071, m=,0.073, ca=,0.0215, cr=,0.0177,  0.498633, 
t=,135107, actvstrat=,mBuy=,-0.042, mSel=,+0.057, b=,0.059, m=,0.052, ca=,0.0166, cr=,0.0219,  0.572045, 
t=,168884, actvstrat=,mBuy=,-0.088, mSel=,+0.016, b=,0.116, m=,0.039, ca=,0.0178, cr=,0.0226,  0.615534, 
t=,202661, actvstrat=,mBuy=,-0.045, mSel=,+0.041, b=,0.102, m=,0.078, ca=,0.0144, cr=,0.0228,  0.560587, 
t=,236437, actvstrat=,mBuy=,-0.047, mSel=,+0.115, b=,0.126, m=,0.101, ca=,0.0134, cr=,0.0251,  0.564995, 
t=,270214, actvstrat=,mBuy=,-0.017, mSel=,+0.116, b=,0.174, m=,0.109, ca=,0.0132, cr=,0.0244,  0.711997, 
t=,303991, actvstrat=,mBuy=,-0.037, mSel=,+0.083, b=,0.201, m=,0.138, ca=,0.0147, cr=,0.0285,  0.664916, 
t=,337768, actvstrat=,mBuy=,-0.032, mSel=,+0.083, b=,0.236, m=,0.156, ca=,0.0190, cr=,0.0294,  0.691715, 
t=,371544, actvstrat=,mBuy=,-0.005, mSel=,+0.104, b=,0.245, m=,0.153, ca=,0.0187, cr=,0.0279,  0.722267, 
t=,405322, actvstrat=,mBuy=,+0.000, mSel=,+0.080, b=,0.267, m=,0.197, ca=,0.0210, cr=,0.0283,  0.727527, 
t=,439098, actvstrat=,mBuy=,-0.046, mSel=,+0.067, b=,0.263, m=,0.209, ca=,0.0220, cr=,0.0264,  0.675441, 
t=,472876, actvstrat=,mBuy=,-0.005, mSel=,+0.065, b=,0.271, m=,0.239, ca=,0.0243, cr=,0.0235,  0.686669, 
t=,506653, actvstrat=,mBuy=,-0.009, mSel=,+0.073, b=,0.293, m=,0.272, ca=,0.0228, cr=,0.0220,  0.660477, 
t=,540431, actvstrat=,mBuy=,-0.033, mSel=,+0.059, b=,0.261, m=,0.281, ca=,0.0228, cr=,0.0244,  0.694225, 
t=,574208, actvstrat=,mBuy=,-0.012, mSel=,+0.054, b=,0.271, m=,0.282, ca=,0.0241, cr=,0.0286,  0.680458, 
t=,607984, actvstrat=,mBuy=,-0.029, mSel=,+0.048, b=,0.312, m=,0.278, ca=,0.0208, cr=,0.0303,  0.656767, 
t=,641761, actvstrat=,mBuy=,-0.019, mSel=,+0.086, b=,0.339, m=,0.292, ca=,0.0257, cr=,0.0275,  0.728156, 
t=,675537, actvstrat=,mBuy=,-0.072, mSel=,+0.091, b=,0.402, m=,0.271, ca=,0.0236, cr=,0.0293,  0.741193, 
t=,709314, actvstrat=,mBuy=,-0.072, mSel=,+0.081, b=,0.441, m=,0.293, ca=,0.0254, cr=,0.0301,  0.798437, 
t=,743090, actvstrat=,mBuy=,-0.057, mSel=,+0.105, b=,0.469, m=,0.294, ca=,0.0247, cr=,0.0311,  0.792293, 
t=,776867, actvstrat=,mBuy=,-0.046, mSel=,+0.111, b=,0.479, m=,0.264, ca=,0.0212, cr=,0.0343,  0.759389, 
t=,810643, actvstrat=,mBuy=,-0.087, mSel=,+0.058, b=,0.465, m=,0.253, ca=,0.0250, cr=,0.0299,  0.853316, 
t=,844419, actvstrat=,mBuy=,-0.080, mSel=,+0.086, b=,0.442, m=,0.305, ca=,0.0296, cr=,0.0308,  0.786652, 
t=,878195, actvstrat=,mBuy=,-0.100, mSel=,+0.039, b=,0.476, m=,0.319, ca=,0.0294, cr=,0.0334,  0.769231, 
t=,911973, actvstrat=,mBuy=,-0.087, mSel=,+0.034, b=,0.498, m=,0.337, ca=,0.0310, cr=,0.0373,  0.796429, 
t=,945749, actvstrat=,mBuy=,-0.070, mSel=,+0.045, b=,0.521, m=,0.373, ca=,0.0321, cr=,0.0403,  0.797496, 
t=,979526, actvstrat=,mBuy=,-0.096, mSel=,+0.065, b=,0.539, m=,0.354, ca=,0.0314, cr=,0.0367,  0.799047, 
t=,1013302, actvstrat=,mBuy=,-0.051, mSel=,+0.081, b=,0.580, m=,0.313, ca=,0.0295, cr=,0.0375,  0.799815, 
t=,1047079, actvstrat=,mBuy=,-0.102, mSel=,+0.081, b=,0.617, m=,0.286, ca=,0.0343, cr=,0.0415,  0.829334, 
t=,1080855, actvstrat=,mBuy=,-0.139, mSel=,+0.051, b=,0.628, m=,0.267, ca=,0.0341, cr=,0.0420,  0.884848, 
t=,1114632, actvstrat=,mBuy=,-0.151, mSel=,+0.015, b=,0.628, m=,0.257, ca=,0.0321, cr=,0.0454,  0.907038, 
t=,1148410, actvstrat=,mBuy=,-0.166, mSel=,+0.086, b=,0.601, m=,0.309, ca=,0.0318, cr=,0.0471,  0.872824, 
t=,1182186, actvstrat=,mBuy=,-0.145, mSel=,+0.039, b=,0.637, m=,0.274, ca=,0.0328, cr=,0.0539,  0.852647, 
t=,1215963, actvstrat=,mBuy=,-0.127, mSel=,+0.025, b=,0.620, m=,0.278, ca=,0.0299, cr=,0.0532,  0.883512, 
t=,1249740, actvstrat=,mBuy=,-0.136, mSel=,+0.043, b=,0.657, m=,0.270, ca=,0.0301, cr=,0.0519,  0.905466, 
t=,1283516, actvstrat=,mBuy=,-0.116, mSel=,+0.052, b=,0.667, m=,0.270, ca=,0.0255, cr=,0.0512,  0.942852, 
t=,1317292, actvstrat=,mBuy=,-0.121, mSel=,+0.024, b=,0.654, m=,0.271, ca=,0.0248, cr=,0.0506,  0.883768, 
t=,1351068, actvstrat=,mBuy=,-0.084, mSel=,+0.048, b=,0.721, m=,0.276, ca=,0.0279, cr=,0.0507,  0.934412, 
t=,1384846, actvstrat=,mBuy=,-0.035, mSel=,+0.037, b=,0.735, m=,0.258, ca=,0.0261, cr=,0.0540,  0.977649, 
t=,1418622, actvstrat=,mBuy=,-0.010, mSel=,+0.044, b=,0.751, m=,0.220, ca=,0.0265, cr=,0.0553,  0.957597, 
t=,1452399, actvstrat=,mBuy=,+0.000, mSel=,+0.015, b=,0.727, m=,0.206, ca=,0.0238, cr=,0.0573,  0.955028, 
t=,1486176, actvstrat=,mBuy=,-0.021, mSel=,+0.021, b=,0.688, m=,0.199, ca=,0.0251, cr=,0.0597,  0.948965, 
t=,1519952, actvstrat=,mBuy=,-0.074, mSel=,+0.032, b=,0.713, m=,0.174, ca=,0.0260, cr=,0.0557,  0.947145, 
t=,1553728, actvstrat=,mBuy=,-0.102, mSel=,+0.052, b=,0.705, m=,0.183, ca=,0.0227, cr=,0.0552,  0.994154, 
t=,1587505, actvstrat=,mBuy=,-0.080, mSel=,+0.002, b=,0.706, m=,0.139, ca=,0.0204, cr=,0.0593,  1.004156, 
t=,1621282, actvstrat=,mBuy=,-0.114, mSel=,+0.000, b=,0.689, m=,0.124, ca=,0.0192, cr=,0.0582,  1.021487, 
t=,1655058, actvstrat=,mBuy=,-0.122, mSel=,+0.045, b=,0.692, m=,0.038, ca=,0.0212, cr=,0.0571,  1.018002, 
t=,1688834, actvstrat=,mBuy=,-0.146, mSel=,+0.000, b=,0.698, m=,0.045, ca=,0.0167, cr=,0.0589,  0.987355, 
t=,1722611, actvstrat=,mBuy=,-0.145, mSel=,+0.004, b=,0.669, m=,0.031, ca=,0.0162, cr=,0.0625,  1.019449, 
t=,1756387, actvstrat=,mBuy=,-0.132, mSel=,+0.000, b=,0.673, m=,0.006, ca=,0.0198, cr=,0.0651,  0.993032, 
t=,1790164, actvstrat=,mBuy=,-0.131, mSel=,+0.002, b=,0.673, m=,0.000, ca=,0.0265, cr=,0.0637,  1.010246, 
t=,1823940, actvstrat=,mBuy=,-0.138, mSel=,+0.000, b=,0.655, m=,0.030, ca=,0.0290, cr=,0.0692,  1.015369, 
t=,1857717, actvstrat=,mBuy=,-0.124, mSel=,+0.077, b=,0.625, m=,0.000, ca=,0.0277, cr=,0.0656,  0.999123, 
t=,1891493, actvstrat=,mBuy=,-0.162, mSel=,+0.088, b=,0.700, m=,0.002, ca=,0.0285, cr=,0.0692,  0.975401, 
t=,1925269, actvstrat=,mBuy=,-0.202, mSel=,+0.123, b=,0.722, m=,0.000, ca=,0.0290, cr=,0.0720,  1.017963, 
t=,1959049, actvstrat=,mBuy=,-0.200, mSel=,+0.086, b=,0.740, m=,0.028, ca=,0.0307, cr=,0.0750,  1.022431, 
t=,1992825, actvstrat=,mBuy=,-0.206, mSel=,+0.087, b=,0.748, m=,0.057, ca=,0.0313, cr=,0.0760,  1.037816, 
t=,2026602, actvstrat=,mBuy=,-0.209, mSel=,+0.063, b=,0.769, m=,0.003, ca=,0.0333, cr=,0.0774,  0.987944, 
t=,2060379, actvstrat=,mBuy=,-0.200, mSel=,+0.057, b=,0.734, m=,0.017, ca=,0.0348, cr=,0.0789,  1.031890, 
t=,2094155, actvstrat=,mBuy=,-0.177, mSel=,+0.071, b=,0.765, m=,0.033, ca=,0.0372, cr=,0.0782,  1.036619, 
t=,2127932, actvstrat=,mBuy=,-0.178, mSel=,+0.057, b=,0.758, m=,0.023, ca=,0.0335, cr=,0.0760,  1.030436, 
t=,2161709, actvstrat=,mBuy=,-0.181, mSel=,+0.104, b=,0.783, m=,0.028, ca=,0.0297, cr=,0.0720,  1.035559, 
t=,2195485, actvstrat=,mBuy=,-0.186, mSel=,+0.104, b=,0.840, m=,0.074, ca=,0.0311, cr=,0.0687,  1.073271, 
t=,2229263, actvstrat=,mBuy=,-0.181, mSel=,+0.096, b=,0.830, m=,0.088, ca=,0.0364, cr=,0.0758,  1.074466, 
t=,2263039, actvstrat=,mBuy=,-0.198, mSel=,+0.092, b=,0.844, m=,0.058, ca=,0.0411, cr=,0.0752,  1.068327, 
