t=,28824, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.052, ca=,0.0112, cr=,0.0414,  1.225487, 
t=,57651, actvstrat=,mBuy=,-0.075, mSel=,+0.074, b=,0.000, m=,0.065, ca=,0.0109, cr=,0.0423,  1.302097, 
t=,86475, actvstrat=,mBuy=,-0.096, mSel=,+0.044, b=,0.000, m=,0.076, ca=,0.0121, cr=,0.0482,  1.506419, 
t=,115300, actvstrat=,mBuy=,-0.040, mSel=,+0.060, b=,0.002, m=,0.118, ca=,0.0174, cr=,0.0528,  2.462394, 
t=,144124, actvstrat=,mBuy=,-0.090, mSel=,+0.063, b=,0.000, m=,0.127, ca=,0.0215, cr=,0.0576,  1.348588, 
t=,172949, actvstrat=,mBuy=,-0.030, mSel=,+0.070, b=,0.002, m=,0.126, ca=,0.0213, cr=,0.0602,  2.481610, 
t=,201774, actvstrat=,mBuy=,-0.019, mSel=,+0.094, b=,0.000, m=,0.153, ca=,0.0199, cr=,0.0593,  1.354376, 
t=,230599, actvstrat=,mBuy=,+0.000, mSel=,+0.055, b=,0.016, m=,0.131, ca=,0.0188, cr=,0.0605,  1.235168, 
t=,259424, actvstrat=,mBuy=,-0.013, mSel=,+0.109, b=,0.006, m=,0.121, ca=,0.0220, cr=,0.0648,  1.320104, 
t=,288253, actvstrat=,mBuy=,-0.036, mSel=,+0.127, b=,0.004, m=,0.120, ca=,0.0171, cr=,0.0636,  1.677237, 
t=,317080, actvstrat=,mBuy=,-0.053, mSel=,+0.073, b=,0.000, m=,0.120, ca=,0.0185, cr=,0.0630,  1.668729, 
t=,345905, actvstrat=,mBuy=,-0.088, mSel=,+0.064, b=,0.014, m=,0.122, ca=,0.0207, cr=,0.0671,  1.260956, 
t=,374730, actvstrat=,mBuy=,-0.096, mSel=,+0.083, b=,0.059, m=,0.104, ca=,0.0197, cr=,0.0671,  1.310970, 
t=,403561, actvstrat=,mBuy=,-0.066, mSel=,+0.069, b=,0.083, m=,0.077, ca=,0.0154, cr=,0.0709,  1.293717, 
t=,432386, actvstrat=,mBuy=,-0.059, mSel=,+0.093, b=,0.125, m=,0.119, ca=,0.0177, cr=,0.0713,  1.298474, 
t=,461211, actvstrat=,mBuy=,-0.073, mSel=,+0.091, b=,0.137, m=,0.115, ca=,0.0214, cr=,0.0738,  1.330371, 
t=,490035, actvstrat=,mBuy=,-0.071, mSel=,+0.136, b=,0.211, m=,0.144, ca=,0.0248, cr=,0.0711,  1.301878, 
t=,518860, actvstrat=,mBuy=,-0.071, mSel=,+0.170, b=,0.225, m=,0.116, ca=,0.0222, cr=,0.0716,  1.488995, 
t=,547684, actvstrat=,mBuy=,-0.096, mSel=,+0.186, b=,0.261, m=,0.107, ca=,0.0280, cr=,0.0698,  1.413056, 
t=,576509, actvstrat=,mBuy=,-0.107, mSel=,+0.220, b=,0.249, m=,0.081, ca=,0.0275, cr=,0.0734,  1.495976, 
t=,605334, actvstrat=,mBuy=,-0.058, mSel=,+0.221, b=,0.266, m=,0.048, ca=,0.0243, cr=,0.0735,  1.457161, 
t=,634159, actvstrat=,mBuy=,-0.066, mSel=,+0.176, b=,0.273, m=,0.005, ca=,0.0253, cr=,0.0724,  1.519147, 
t=,662983, actvstrat=,mBuy=,-0.097, mSel=,+0.197, b=,0.281, m=,0.000, ca=,0.0258, cr=,0.0763,  1.601344, 
t=,691807, actvstrat=,mBuy=,-0.096, mSel=,+0.223, b=,0.303, m=,0.022, ca=,0.0279, cr=,0.0766,  1.542306, 
t=,720632, actvstrat=,mBuy=,-0.100, mSel=,+0.249, b=,0.280, m=,0.000, ca=,0.0288, cr=,0.0770,  1.591846, 
t=,749456, actvstrat=,mBuy=,-0.096, mSel=,+0.283, b=,0.310, m=,0.011, ca=,0.0315, cr=,0.0720,  1.603181, 
t=,778281, actvstrat=,mBuy=,-0.145, mSel=,+0.264, b=,0.255, m=,0.008, ca=,0.0358, cr=,0.0714,  1.610059, 
t=,807106, actvstrat=,mBuy=,-0.138, mSel=,+0.263, b=,0.228, m=,0.000, ca=,0.0349, cr=,0.0679,  1.511738, 
t=,835930, actvstrat=,mBuy=,-0.179, mSel=,+0.294, b=,0.252, m=,0.004, ca=,0.0340, cr=,0.0757,  1.520987, 
t=,864755, actvstrat=,mBuy=,-0.202, mSel=,+0.303, b=,0.313, m=,0.009, ca=,0.0336, cr=,0.0751,  1.586178, 
t=,893580, actvstrat=,mBuy=,-0.253, mSel=,+0.249, b=,0.289, m=,0.030, ca=,0.0324, cr=,0.0764,  1.556305, 
t=,922405, actvstrat=,mBuy=,-0.268, mSel=,+0.239, b=,0.315, m=,0.021, ca=,0.0332, cr=,0.0762,  1.500619, 
t=,951230, actvstrat=,mBuy=,-0.262, mSel=,+0.234, b=,0.360, m=,0.036, ca=,0.0294, cr=,0.0739,  1.578400, 
t=,980055, actvstrat=,mBuy=,-0.213, mSel=,+0.235, b=,0.387, m=,0.000, ca=,0.0275, cr=,0.0714,  1.594775, 
