t=,34057, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.026, ca=,0.0463, cr=,0.0398,  0.987254, 
t=,68114, actvstrat=,mBuy=,-0.036, mSel=,+0.062, b=,0.004, m=,0.024, ca=,0.0493, cr=,0.0410,  1.431033, 
t=,102171, actvstrat=,mBuy=,-0.033, mSel=,+0.045, b=,0.019, m=,0.016, ca=,0.0527, cr=,0.0374,  1.041857, 
t=,136227, actvstrat=,mBuy=,-0.003, mSel=,+0.000, b=,0.005, m=,0.018, ca=,0.0513, cr=,0.0378,  1.180916, 
t=,170285, actvstrat=,mBuy=,+0.000, mSel=,+0.006, b=,0.000, m=,0.062, ca=,0.0501, cr=,0.0396,  2.051882, 
t=,204342, actvstrat=,mBuy=,-0.042, mSel=,+0.015, b=,0.000, m=,0.100, ca=,0.0485, cr=,0.0392,  1.702037, 
t=,238398, actvstrat=,mBuy=,-0.025, mSel=,+0.029, b=,0.001, m=,0.131, ca=,0.0450, cr=,0.0382,  1.637955, 
t=,272455, actvstrat=,mBuy=,-0.079, mSel=,+0.043, b=,0.000, m=,0.193, ca=,0.0419, cr=,0.0382,  1.155535, 
t=,306512, actvstrat=,mBuy=,-0.075, mSel=,+0.048, b=,0.039, m=,0.193, ca=,0.0455, cr=,0.0381,  1.077278, 
t=,340568, actvstrat=,mBuy=,-0.062, mSel=,+0.022, b=,0.066, m=,0.189, ca=,0.0474, cr=,0.0405,  1.037651, 
t=,374625, actvstrat=,mBuy=,-0.071, mSel=,+0.024, b=,0.128, m=,0.195, ca=,0.0480, cr=,0.0376,  1.078720, 
t=,408682, actvstrat=,mBuy=,-0.113, mSel=,+0.006, b=,0.176, m=,0.208, ca=,0.0477, cr=,0.0388,  1.111000, 
t=,442741, actvstrat=,mBuy=,-0.139, mSel=,+0.021, b=,0.195, m=,0.211, ca=,0.0472, cr=,0.0445,  1.210724, 
t=,476798, actvstrat=,mBuy=,-0.134, mSel=,+0.070, b=,0.208, m=,0.237, ca=,0.0474, cr=,0.0432,  1.235719, 
t=,510854, actvstrat=,mBuy=,-0.161, mSel=,+0.098, b=,0.212, m=,0.200, ca=,0.0495, cr=,0.0433,  1.199075, 
t=,544911, actvstrat=,mBuy=,-0.126, mSel=,+0.103, b=,0.203, m=,0.166, ca=,0.0468, cr=,0.0436,  1.221014, 
t=,578967, actvstrat=,mBuy=,-0.147, mSel=,+0.124, b=,0.211, m=,0.191, ca=,0.0443, cr=,0.0418,  1.227903, 
t=,613023, actvstrat=,mBuy=,-0.175, mSel=,+0.138, b=,0.253, m=,0.201, ca=,0.0461, cr=,0.0417,  1.225015, 
t=,647080, actvstrat=,mBuy=,-0.193, mSel=,+0.169, b=,0.285, m=,0.242, ca=,0.0445, cr=,0.0439,  1.273029, 
