t=,37864, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.047, ca=,0.0108, cr=,0.0382,  1.180109, 
t=,75728, actvstrat=,mBuy=,-0.040, mSel=,+0.039, b=,0.000, m=,0.017, ca=,0.0158, cr=,0.0407,  1.431285, 
t=,113593, actvstrat=,mBuy=,-0.088, mSel=,+0.055, b=,0.000, m=,0.000, ca=,0.0178, cr=,0.0392,  1.654065, 
t=,151458, actvstrat=,mBuy=,-0.124, mSel=,+0.094, b=,0.000, m=,0.017, ca=,0.0165, cr=,0.0383,  1.482191, 
t=,189323, actvstrat=,mBuy=,-0.158, mSel=,+0.125, b=,0.006, m=,0.026, ca=,0.0130, cr=,0.0394,  1.283838, 
t=,227189, actvstrat=,mBuy=,-0.150, mSel=,+0.120, b=,0.030, m=,0.037, ca=,0.0165, cr=,0.0399,  1.199943, 
t=,265056, actvstrat=,mBuy=,-0.136, mSel=,+0.161, b=,0.061, m=,0.029, ca=,0.0159, cr=,0.0404,  1.265957, 
t=,302920, actvstrat=,mBuy=,-0.195, mSel=,+0.178, b=,0.079, m=,0.007, ca=,0.0134, cr=,0.0419,  1.339415, 
t=,340786, actvstrat=,mBuy=,-0.227, mSel=,+0.202, b=,0.130, m=,0.004, ca=,0.0078, cr=,0.0423,  1.349416, 
t=,378651, actvstrat=,mBuy=,-0.190, mSel=,+0.211, b=,0.160, m=,0.000, ca=,0.0066, cr=,0.0432,  1.429590, 
t=,416515, actvstrat=,mBuy=,-0.206, mSel=,+0.222, b=,0.179, m=,0.006, ca=,0.0048, cr=,0.0383,  1.437152, 
t=,454384, actvstrat=,mBuy=,-0.232, mSel=,+0.231, b=,0.201, m=,0.000, ca=,0.0063, cr=,0.0405,  1.475039, 
t=,492248, actvstrat=,mBuy=,-0.252, mSel=,+0.243, b=,0.211, m=,0.011, ca=,0.0048, cr=,0.0431,  1.494188, 
t=,530113, actvstrat=,mBuy=,-0.296, mSel=,+0.197, b=,0.220, m=,0.019, ca=,0.0000, cr=,0.0447,  1.475565, 
t=,567977, actvstrat=,mBuy=,-0.305, mSel=,+0.176, b=,0.218, m=,0.079, ca=,0.0021, cr=,0.0458,  1.485301, 
t=,605841, actvstrat=,mBuy=,-0.288, mSel=,+0.162, b=,0.228, m=,0.049, ca=,0.0024, cr=,0.0428,  1.486618, 
t=,643706, actvstrat=,mBuy=,-0.321, mSel=,+0.122, b=,0.232, m=,0.039, ca=,0.0020, cr=,0.0426,  1.485814, 
t=,681572, actvstrat=,mBuy=,-0.346, mSel=,+0.135, b=,0.247, m=,0.028, ca=,0.0010, cr=,0.0386,  1.503138, 
t=,719438, actvstrat=,mBuy=,-0.323, mSel=,+0.149, b=,0.276, m=,0.000, ca=,0.0038, cr=,0.0389,  1.561227, 
t=,757304, actvstrat=,mBuy=,-0.314, mSel=,+0.167, b=,0.278, m=,0.009, ca=,0.0055, cr=,0.0363,  1.476435, 
t=,795171, actvstrat=,mBuy=,-0.281, mSel=,+0.166, b=,0.308, m=,0.033, ca=,0.0078, cr=,0.0328,  1.512731, 
t=,833035, actvstrat=,mBuy=,-0.245, mSel=,+0.168, b=,0.289, m=,0.000, ca=,0.0135, cr=,0.0321,  1.539731, 
t=,870900, actvstrat=,mBuy=,-0.222, mSel=,+0.182, b=,0.280, m=,0.039, ca=,0.0150, cr=,0.0319,  1.520903, 
t=,908768, actvstrat=,mBuy=,-0.248, mSel=,+0.184, b=,0.278, m=,0.050, ca=,0.0153, cr=,0.0306,  1.490846, 
t=,946633, actvstrat=,mBuy=,-0.288, mSel=,+0.171, b=,0.244, m=,0.013, ca=,0.0118, cr=,0.0283,  1.529851, 
t=,984497, actvstrat=,mBuy=,-0.318, mSel=,+0.197, b=,0.290, m=,0.002, ca=,0.0141, cr=,0.0267,  1.507943, 
t=,1022362, actvstrat=,mBuy=,-0.285, mSel=,+0.235, b=,0.295, m=,0.000, ca=,0.0155, cr=,0.0311,  1.549948, 
t=,1060229, actvstrat=,mBuy=,-0.265, mSel=,+0.240, b=,0.323, m=,0.027, ca=,0.0177, cr=,0.0294,  1.567420, 
t=,1098093, actvstrat=,mBuy=,-0.285, mSel=,+0.214, b=,0.376, m=,0.020, ca=,0.0174, cr=,0.0269,  1.570589, 
t=,1135957, actvstrat=,mBuy=,-0.264, mSel=,+0.249, b=,0.385, m=,0.000, ca=,0.0138, cr=,0.0289,  1.596828, 
t=,1173822, actvstrat=,mBuy=,-0.247, mSel=,+0.252, b=,0.407, m=,0.005, ca=,0.0099, cr=,0.0311,  1.576583, 
